finishedAt,profile,transport,clients,rate,rep,latSamples,p50ms,p95ms,p99ms,maxMs,deliveryRatio,missed,reconnects,connectFailures,errors,wireBytesPerClient,backpressure,generatorLimited,runId
2026-08-27T12:31:26.576Z,mobile,sse,400,20,2,160065,67.317,96.466,111.397,153.163,1.0004,0,0,0,0,89296,0,false,netem-mobile-sse-c400-r20-1787833852963
2026-08-27T12:32:06.302Z,mobile,ws,400,20,2,160010,62.643,96.466,111.397,250.517,1.0001,0,0,0,0,81602,0,false,netem-mobile-ws-c400-r20-1787833892733
2026-08-27T12:32:45.865Z,mobile,poll,400,20,2,159817,626.434,1113.974,1197.085,1538.415,0.9987,0,0,0,0,86961,0,false,netem-mobile-poll-c400-r20-1787833932390
2026-08-27T12:33:25.379Z,lossy,poll,400,20,1,159897,542.469,1036.633,1113.974,1190.798,0.9993,0,0,0,0,87117,0,false,netem-lossy-poll-c400-r20-1787833971994
2026-08-27T12:34:04.864Z,lossy,poll-debounced,400,20,1,160000,72.339,111.397,128.64,179.664,1,0,0,0,0,168946,0,false,netem-lossy-poll-debounced-c400-r20-1787834011480
2026-08-27T12:34:44.330Z,lossy,longpoll,400,20,1,160002,32.781,50.481,58.294,81.274,1,0,0,0,0,216425,0,false,netem-lossy-longpoll-c400-r20-1787834050943
2026-08-27T12:35:23.857Z,lossy,sse,400,20,1,160017,35.227,50.481,58.294,74.13,1,0,0,0,0,89074,0,false,netem-lossy-sse-c400-r20-1787834090391
2026-08-27T12:36:03.488Z,lossy,ws,400,20,1,160007,35.227,50.481,58.294,74.295,0.9997,0,0,0,0,81806,0,false,netem-lossy-ws-c400-r20-1787834129992
2026-08-27T12:36:42.959Z,lossy,poll-debounced,400,20,2,160008,72.339,119.709,128.64,364.529,1,0,0,0,0,169012,0,false,netem-lossy-poll-debounced-c400-r20-1787834169573
2026-08-27T12:37:22.462Z,lossy,longpoll,400,20,2,160004,32.781,50.481,58.294,75.381,1,0,0,0,0,216433,0,false,netem-lossy-longpoll-c400-r20-1787834209059
2026-08-27T12:38:02.050Z,lossy,sse,400,20,2,160175,35.227,50.481,58.294,86.206,1.001,0,0,0,0,89074,0,false,netem-lossy-sse-c400-r20-1787834248577
2026-08-27T12:38:41.643Z,lossy,ws,400,20,2,160055,35.227,50.481,58.294,73.682,1.0003,0,0,0,0,81806,0,false,netem-lossy-ws-c400-r20-1787834288172
2026-08-27T12:39:21.109Z,lossy,poll,400,20,2,160147,542.469,1036.633,1113.974,1202.011,1.0006,0,0,0,0,87222,0,false,netem-lossy-poll-c400-r20-1787834327716
2026-08-27T12:40:01.275Z,satellite,poll,400,20,1,160073,964.662,1596.339,1715.438,3580.013,1.0003,0,0,0,0,86847,0,false,netem-satellite-poll-c400-r20-1787834367334
2026-08-27T12:40:41.725Z,satellite,poll-debounced,400,20,1,160119,469.759,626.434,673.17,1531.674,1.0005,0,0,0,0,102296,0,false,netem-satellite-poll-debounced-c400-r20-1787834407749
2026-08-27T12:41:22.159Z,satellite,longpoll,400,20,1,160063,469.759,777.365,1113.974,2952.218,1.0001,0,0,0,0,103973,0,false,netem-satellite-longpoll-c400-r20-1787834448164
2026-08-27T12:42:05.078Z,satellite,sse,400,20,1,159982,378.552,582.942,964.662,2268.047,0.9998,0,0,0,0,90402,0,false,netem-satellite-sse-c400-r20-1787834488860
2026-08-27T12:42:47.628Z,satellite,ws,400,20,1,159897,378.552,582.942,964.662,2224.567,0.9993,0,0,0,0,82826,0,false,netem-satellite-ws-c400-r20-1787834531588
2026-08-27T12:43:27.950Z,satellite,poll-debounced,400,20,2,160025,469.759,626.434,673.17,1956.135,1.0001,0,0,0,0,102155,0,false,netem-satellite-poll-debounced-c400-r20-1787834574028
2026-08-27T12:44:08.682Z,satellite,longpoll,400,20,2,160051,437.144,582.942,626.434,1731.575,1.0002,0,0,0,0,104640,0,false,netem-satellite-longpoll-c400-r20-1787834614760
2026-08-27T12:44:51.516Z,satellite,sse,400,20,2,159953,378.552,582.942,897.687,2235.724,0.9994,0,0,0,0,90398,0,false,netem-satellite-sse-c400-r20-1787834655094
2026-08-27T12:45:31.741Z,satellite,ws,400,20,2,160008,378.552,582.942,897.687,1722.984,0.9999,0,0,0,0,83030,0,false,netem-satellite-ws-c400-r20-1787834696124
2026-08-27T12:46:12.065Z,satellite,poll,400,20,2,159604,964.662,1596.339,1715.438,3124.001,0.9975,0,0,0,0,86563,0,false,netem-satellite-poll-c400-r20-1787834738140
